"","ASV","YSI","rASV","rYSI","means"
"0071721012",1.18709687817161,1762,827,935,243.964461036083
"0071721013",0.796067231988968,1516,464,1052,242.343833721941
"0071721015",1.71206303459314,2168,1201,967,243.608616459364
"0071721070",1.55243218448251,2249,1105,1144,240.769676885049
"0071721075",1.08245880533836,1638,725,913,244.334722099094
"0071921010",1.16287982911906,2098,809,1289,237.998129245959
"0071921018",1.4817788260815,2282,1058,1224,239.349285691364
"0071921021",0.272424299368925,1524,81,1443,231.831731979649
"0071921023",0.108546685322997,1401,13,1388,234.717288637492
"0071921032",1.57952262649459,1973,1125,848,245.301695824441
"0072021001",1.35883575555723,986,980,6,262.322603672766
"0072021007",0.882979639665281,1025,550,475,250.230707729205
"0072021008",1.71819462923606,2144,1203,941,243.909982545076
"0072021009",0.288379320253979,1439,85,1354,236.18372416411
"0072021015",3.27019818149476,1973,1565,408,250.997576622388
"0072321016",1.49947274217558,2564,1072,1492,226.455651512267
"0072321017",0.267775277214311,643,78,565,249.142934140138
"0072321036",0.675558872647436,1926,364,1562,213.521401675367
"0072521006",1.19856142826911,1368,839,529,249.614911049739
"0072521007",1.47215781001546,1061,1051,10,261.4652129329
"0072521010",2.9889311761791,1710,1534,176,254.61782051918
"0072521011",1.28600390895965,1012,912,100,256.46815652114
"0072521016",1.09198027091479,824,739,85,256.994428593575
"0074321005",2.03996949866804,2909,1313,1596,184.241136873503
"0076021006",0.705968028589114,1748,386,1362,235.913066415271
"0076021008",2.34419276778168,2536,1395,1141,240.787666503453
"0076021012",0.270632368533946,545,79,466,250.303911212451
"0076021013",0.520030774174179,1479,242,1237,239.0969061419
"0080621001",1.75966541077935,2271,1221,1050,242.379412274659
"0080621004",1.50809627539785,2022,1078,944,243.881696842572
"0080621011",1.21819288452347,2127,855,1272,238.332644016682
"0080621012",1.39274222702447,1438,1004,434,250.702663857953
"0080621026",1.19434357739454,1417,835,582,248.96160808194
"0083321003",1.02962836805651,1084,682,402,251.048694053632
"0083321004",1.10110705787255,1082,749,333,251.942668568122
"0083321009",0.212089805627738,909,52,857,245.192577523749
"0083321019",1.62344913627086,1536,1151,385,251.208971279196
"0083321020",1.55505581296679,1510,1107,403,251.043213668854
"0087141021",0.869260890428453,1309,535,774,246.339784729364
"0087141023",1.11383293821557,1883,763,1120,241.157105436436
"0087141025",1.00468683973173,934,658,276,253.070359936354
"0087141054",1.39821327180991,1927,1008,919,244.259988132441
"0087141059",0.569414645150153,1701,287,1414,233.809527814981
"0087841013",0.740974514061501,1583,415,1168,240.504949131321
"0087841015",1.01386813639582,1628,668,960,243.698524340238
"0087841019",0.556524869590845,1418,279,1139,240.801463902045
"0087841069",2.07002809914638,1997,1322,675,247.705429470428
"0096241014",1.97544412783515,1733,1291,442,250.605826713745
"0096241015",2.99993989188591,1613,1538,75,257.297176853175
"0096241016",0.706011887487552,645,387,258,253.296134516225
"0096241026",1.57331657633657,1425,1121,304,252.677626212527
"0096241031",2.27454827914757,1657,1377,280,253.027611050986
"0100941005",0.702430214638987,669,382,287,252.915064300707
"0100941006",0.576159345440936,1107,289,818,245.803539739784
"0100941023",0.749885569343711,642,422,220,253.808693760147
"0100941031",1.73558315346939,2694,1211,1483,227.155216547545
"0100941032",0.93712140359238,2121,596,1525,221.819429510514
"0105341004",0.506218168008543,1134,229,905,244.433832559169
"0105341009",1.53081906434726,1612,1092,520,249.70542702782
"0105341011",2.51341175297074,1542,1439,103,256.430797461219
"0105341017",0.935811721119588,1646,595,1051,242.3658245782
"0105341026",2.94607442979887,2192,1528,664,247.840209317435
"0117571014",0.797808321102124,1498,465,1033,242.602582508748
"0117571034",1.42529492854457,1550,1025,525,249.643617341201
"0117571036",0.602576816098252,934,309,625,248.442922014921
"0117571042",2.09364976856225,2818,1329,1489,226.6296983497
"0117571044",0.741278432373513,1469,416,1053,242.339551644548
"0119541001",1.98061980672429,2011,1292,719,247.021006811438
"0119541006",1.32108265699985,1498,949,549,249.304900920706
"0119541012",1.56202731177206,1494,1111,383,251.216352582296
"0119541017",0.551563900900922,851,273,578,249.015268807567
"0119541018",1.7773634603914,2158,1230,928,244.094563692581
"0121641053",3.37478600721809,1812,1571,241,253.476147507695
"0121641068",2.70471514908411,1974,1483,491,250.104417735043
"0121641078",2.62033605090057,2191,1464,727,246.918491627051
"0121641081",1.02070087830638,1139,675,464,250.351684960604
"0121641087",2.99026994040026,1870,1535,335,251.930452020202
"0123221003",2.41574346487838,1638,1415,223,253.746991077824
"0123221006",0.855276398127422,1802,519,1283,238.127471137093
"0123221007",1.14480304567543,1305,794,511,249.810074792698
"0123221021",0.891610539467044,830,559,271,253.104336036083
"0123221023",0.444229983901587,1721,182,1539,218.793510462686
"0124021006",0.609025869080542,919,313,606,248.628148846728
"0124021010",0.943994892690358,895,601,294,252.775907275574
"0124021014",0.401567267460693,898,157,741,246.705076456158
"0124021018",0.100308696951174,1214,11,1203,239.730151512274
"0124021025",1.38099481864928,1534,993,541,249.450865357072
"0124121005",1.0151213907631,780,670,110,256.148556715096
"0124121016",0.880801273904159,2118,549,1569,210.680760934788
"0124121036",1.04110904719755,920,690,230,253.668000277707
"0124121085",1.11668921832008,927,766,161,254.904595295342
"0126921008",2.0181918274603,1519,1305,214,253.98959264984
"0126921010",0.0378870019714319,1361,3,1358,236.145883214212
"0126921013",0.943529935806668,774,599,175,254.621964783879
"0126921016",1.68540884975719,2137,1182,955,243.711709713333
"0126921023",1.70133437641354,2271,1197,1074,242.046114475238
"0127321001",1.02606491456605,2055,678,1377,235.231837358833
"0127321005",0.923370553684494,2033,585,1448,231.263923999043
"0127321012",1.34468959373054,1545,965,580,249.000673437881
"0127321018",1.517541181454,1235,1083,152,255.208494104866
"0127321022",0.626770075476929,1563,329,1234,239.134520559892
"0129921001",1.0473625928709,1068,698,370,251.356590831771
"0129921006",1.54187022740025,1212,1098,114,256.04764811057
"0129921009",0.990590771189992,1235,645,590,248.79814729925
"0129921025",0.844943314644442,810,509,301,252.687235141595
"0129921033",1.48416279777106,1266,1060,206,254.08370583412
"0130821002",0.491496373160276,805,216,589,248.813248073122
"0130821011",1.56569858515005,2571,1114,1457,230.325336251582
